,website,in_sfdc
776,deluxeblooms.co.uk,False
777,deluxematerials.co.uk,True
778,limelace.co.uk,True
779,fandomonium.co.uk,False
780,fansfavourite.co.uk,False
781,faqeapparel.co.uk,False
782,farmanimalsupplies.co.uk,False
783,farmcbd.co.uk,False
784,farmergracy.co.uk,True
785,farmstream.co.uk,False
786,farmwatcher.co.uk,False
787,feelbetterbox.co.uk,False
788,feelgoodstore.co.uk,False
789,feerdom.co.uk,False
790,feipushi.co.uk,False
791,felinefayre.co.uk,False
792,fellowcreatures.co.uk,False
793,felmathecow.co.uk,False
794,femalelab.co.uk,False
795,fembra.co.uk,False
796,femmefataleskin.co.uk,False
797,femmeluxeblogger.co.uk,False
798,femmeluxebloggers.co.uk,True
799,femnilondon.co.uk,False
800,fenlandzhealth.co.uk,True
801,fennerbenedict.co.uk,True
802,fenoq.co.uk,True
803,fernandthistle.co.uk,False
804,fernbankstudio.co.uk,True
805,ferninteriors.co.uk,False
806,ferocia.co.uk,False
807,ferrariscoffee.co.uk,True
808,ferryalesbrewery.co.uk,True
809,ferryfish.co.uk,False
810,fescuegolf.co.uk,False
811,festakits.co.uk,False
812,festivaloutlet.co.uk,False
813,fetshop.co.uk,False
814,ffpets.co.uk,True
815,fgdonline.co.uk,True
816,fibrehut.co.uk,False
817,fibreofthegods.co.uk,False
818,fibrex.co.uk,True
819,fichceramics.co.uk,False
820,fielddoctor.co.uk,False
821,fieldsofglorymodels.co.uk,False
822,fifecycles.co.uk,True
823,fifiandfinn.co.uk,False
824,fifti2motorsport.co.uk,False
825,figandwillow.co.uk,True
826,figarospares.co.uk,True
827,fightaesthetic.co.uk,False
828,fightershots.co.uk,False
829,fightkings.co.uk,False
830,fightlab.co.uk,False
831,fightorperish.co.uk,False
832,fighttees.co.uk,True
833,filinteriors.co.uk,False
834,fillilondon.co.uk,False
835,fillnsqueeze.co.uk,True
836,filmbros.co.uk,True
837,filtered-watercoolers.co.uk,True
838,filtermate.co.uk,False
839,filterology.co.uk,False
840,filtreo.co.uk,True
841,fingertips33.co.uk,False
842,a1bar.co.uk,False
843,a1fightgear.co.uk,False
844,a1officefurniture.co.uk,False
845,a2supplies.co.uk,False
846,ab-presents.co.uk,False
847,abacionline.co.uk,False
848,abandonshipapparel.co.uk,False
849,abassova.co.uk,False
850,abbeyessentials.co.uk,True
851,abbeyglassonline.co.uk,False
852,abbeytops.co.uk,False
853,abbottstovesonline.co.uk,False
854,abcironmongery.co.uk,False
855,abeardeen.co.uk,True
856,abeautifulworld.co.uk,True
857,abenaonline.co.uk,False
858,aberdeenshirelarder.co.uk,False
859,abergavennymodelcentre.co.uk,False
860,abigailmill.co.uk,True
861,abigailsdrapery.co.uk,True
862,abigailshome.co.uk,False
